Month,Day,Fajr Athan,Fajr Iqama,Sunrise,Dhuhr Athan,Dhuhr Iqama,Asr Athan,Asr Iqama,Maghrib Athan,Maghrib Iqama,Isha Athan,Isha Iqama,,Prayer,Iqama Offset (minutes),,Jumuah,Starts,Ends
1,1,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,Fajr,5,,1st Jumuah,1:00 PM,1:30 PM
1,2,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,Dhuhr,5,,2nd Jumuah,2:00 PM,2:30 PM
1,3,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,Asr,,,3rd Jumuah,3:00 PM,3:30 PM
1,4,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,Maghrib,5,,,,,
1,5,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,Isha,,,,,,
1,6,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,7,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,8,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,9,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,10,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,11,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,12,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,13,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,14,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,15,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,16,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,17,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,18,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,19,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,20,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
