Month,Day,Fajr Athan,Fajr Iqama,Sunrise,Dhuhr Athan,Dhuhr Iqama,Asr Athan,Asr Iqama,Maghrib Athan,Maghrib Iqama,Isha Athan,Isha Iqama,,Prayer,Iqama Offset (minutes),,Jumuah,Starts,Ends
1,1,4:25 AM,4:30 AM,4:45 PM,7:17 PM,8:40 PM,4:45 PM,5:00 PM,7:17 PM,7:17 PM,8:40 PM,8:40 PM,,Fajr,20,,1st Jumuah,1:00 PM,1:30 PM
1,2,4:25 AM,4:30 AM,4:45 PM,7:17 PM,8:40 PM,4:45 PM,5:00 PM,7:17 PM,7:17 PM,8:40 PM,8:40 PM,,Dhuhr,10,,2nd Jumuah,2:00 PM,2:30 PM
1,3,4:25 AM,4:30 AM,4:45 PM,7:17 PM,8:40 PM,4:45 PM,5:00 PM,7:17 PM,7:17 PM,8:40 PM,8:40 PM,,Asr,,,3rd Jumuah,3:00 PM,3:30 PM
1,4,4:25 AM,4:30 AM,4:45 PM,7:17 PM,8:40 PM,4:45 PM,5:00 PM,7:17 PM,7:17 PM,8:40 PM,8:40 PM,,Maghrib,5,,,,
1,5,4:25 AM,4:30 AM,4:45 PM,7:17 PM,8:40 PM,4:45 PM,5:00 PM,7:17 PM,7:17 PM,8:40 PM,8:40 PM,,Isha,,,,,
1,6,4:25 AM,4:30 AM,4:45 PM,7:17 PM,8:40 PM,4:45 PM,5:00 PM,7:17 PM,7:17 PM,8:40 PM,8:40 PM,,,,,,,
1,7,4:25 AM,4:30 AM,4:45 PM,7:17 PM,8:40 PM,4:45 PM,5:00 PM,7:17 PM,7:17 PM,8:40 PM,8:40 PM,,,,,,,
1,8,4:25 AM,4:30 AM,4:45 PM,7:17 PM,8:40 PM,4:45 PM,5:00 PM,7:17 PM,7:17 PM,8:40 PM,8:40 PM,,,,,,,
1,9,4:25 AM,4:30 AM,4:45 PM,7:17 PM,8:40 PM,4:45 PM,5:00 PM,7:17 PM,7:17 PM,8:40 PM,8:40 PM,,,,,,,
1,10,4:25 AM,4:30 AM,4:45 PM,7:17 PM,8:40 PM,4:45 PM,5:00 PM,7:17 PM,7:17 PM,8:40 PM,8:40 PM,,,,,,,
1,11,4:25 AM,4:30 AM,4:45 PM,7:17 PM,8:40 PM,4:45 PM,5:00 PM,7:17 PM,7:17 PM,8:40 PM,8:40 PM,,,,,,,
